Item,ID_Calle,Nombre_Calle,ID_Calle_Origen,ID_Calle_Final,ID_Origen_intereccion,ID_Final_Interseccion,distancia_Km,velocidad,Costo1,Costo2,Latitud_Origen_Interseccion,Longitud_Origen_Interseccion,Latitud_Destino_Interseccion,Longitud_Destino_Interseccion
432,4828501,Calle Gerardo Unger,1870310406,842706790,94,16008,0.2219801,30,0.0073993,1000000,-11.9834484,-77.0587966,-11.9853978,-77.0583572
433,4828501,Calle Gerardo Unger,842706790,842695095,16008,91074,0.0103047,30,0.0003435,1000000,-11.9853978,-77.0583572,-11.9854888,-77.0583393
434,4828501,Calle Gerardo Unger,842695095,31041481,91074,26061,0.1542582,30,0.0051419,1000000,-11.9854888,-77.0583393,-11.9868434,-77.0580333
435,4828501,Calle Gerardo Unger,31041481,2181165339,26061,94285,0.1442498,30,0.0048083,1000000,-11.9868434,-77.0580333,-11.9880207,-77.0574822
436,4828501,Calle Gerardo Unger,2181165339,842695245,94285,50568,0.0289439,30,0.0009648,1000000,-11.9880207,-77.0574822,-11.9882565,-77.0573695
437,4828501,Calle Gerardo Unger,842695245,273428359,50568,12482,0.0779406,30,0.002598,1000000,-11.9882565,-77.0573695,-11.9889355,-77.0572138
438,4828501,Calle Gerardo Unger,273428359,31041475,12482,91050,0.0164298,30,0.0005477,1000000,-11.9889355,-77.0572138,-11.9890826,-77.0571996
439,4828501,Calle Gerardo Unger,31041475,842490634,91050,15857,0.4247954,30,0.0141598,1000000,-11.9890826,-77.0571996,-11.9928844,-77.0573845
440,4828501,Calle Gerardo Unger,842490634,842548363,15857,15904,0.2039573,30,0.0067986,1000000,-11.9928844,-77.0573845,-11.9945364,-77.0566014
441,4828501,Calle Gerardo Unger,842548363,842510799,15904,15899,0.4798335,30,0.0159945,1000000,-11.9945364,-77.0566014,-11.9985406,-77.0554939
442,4828501,Calle Gerardo Unger,842510799,842548386,15899,15914,0.1120933,30,0.0037364,1000000,-11.9985406,-77.0554939,-11.9995389,-77.0553507
443,4828501,Calle Gerardo Unger,842548386,842510791,15914,15896,0.1029702,30,0.0034323,1000000,-11.9995389,-77.0553507,-12.0004577,-77.0552326
444,4828501,Calle Gerardo Unger,842510791,842510786,15896,15894,0.0531405,30,0.0017714,1000000,-12.0004577,-77.0552326,-12.00093,-77.055158
445,4828501,Calle Gerardo Unger,842510786,842490884,15894,15870,0.0529187,30,0.001764,1000000,-12.00093,-77.055158,-12.0014008,-77.0550869
446,4828501,Calle Gerardo Unger,842490884,827153167,15870,15628,0.0543477,30,0.0018116,1000000,-12.0014008,-77.0550869,-12.0018842,-77.0550131
447,4828501,Calle Gerardo Unger,827153167,827153168,15628,15629,0.0545266,30,0.0018176,1000000,-12.0018842,-77.0550131,-12.0023696,-77.0549442
448,4828501,Calle Gerardo Unger,827153168,1870265501,15629,15645,0.0516655,30,0.0017222,1000000,-12.0023696,-77.0549442,-12.0028279,-77.054866
449,4828501,Calle Gerardo Unger,1870265501,1870265506,15645,95,0.0553633,30,0.0018454,1000000,-12.0028279,-77.054866,-12.003319,-77.0547822
450,4828501,Calle Gerardo Unger,1870265506,1870265512,95,96,0.0512843,30,0.0017095,1000000,-12.003319,-77.0547822,-12.0037751,-77.0547122
